County,lbs,Rank,Year
Amador,150079,43,2005
Butte,3146974,18,2005
Calaveras,39379,48,2005
Colusa,1908716,23,2005
Contra Costa,883597,31,2005
Del Norte,363736,38,2005
El Dorado,130004,45,2005
Fresno,32104029,1,2005
Glenn,2212665,22,2005
Humboldt,57682,47,2005
Imperial,6063076,10,2005
Inyo,6211,54,2005
Kern,28184187,2,2005
Kings,6316230,9,2005
Lake,757574,35,2005
Lassen,143329,44,2005
Los Angeles,3259438,16,2005
Madera,11236974,5,2005
Marin,58474,46,2005
Mariposa,5971,55,2005
Mendocino,1213175,28,2005
Merced,7114980,7,2005
Modoc,440263,37,2005
Mono,2414,56,2005
Monterey,8674310,6,2005
Napa,2338209,21,2005
Nevada,35843,49,2005
Orange,1499748,26,2005
Placer,318173,40,2005
Plumas,7352,53,2005
Riverside,3202340,17,2005
Sacramento,3948361,13,2005
San Benito,764545,34,2005
San Bernardino,520552,36,2005
San Diego,1670746,25,2005
San Francisco,23510,51,2005
San Joaquin,11913039,4,2005
San Luis Obispo,2509106,20,2005
San Mateo,275592,41,2005
Santa Barbara,4349957,12,2005
Santa Clara,951455,30,2005
Santa Cruz,1684259,24,2005
Shasta,217793,42,2005
Sierra,2360,57,2005
Siskiyou,841236,33,2005
Solano,1016185,29,2005
Sonoma,3368231,14,2005
Stanislaus,6020445,11,2005
Sutter,3309522,15,2005
Tehama,865830,32,2005
Trinity,11972,52,2005
Tulare,17535850,3,2005
Tuolumne,30034,50,2005
Ventura,6869950,8,2005
Yolo,2829026,19,2005
Yuba,1499734,27,2005
Alameda,269261,41,2004
Alpine,109,58,2004
Amador,117736,43,2004
Butte,2962210,18,2004
Calaveras,92203,45,2004
Colusa,1809678,23,2004
Contra Costa,556561,36,2004
Del Norte,369627,39,2004
El Dorado,105982,44,2004
Fresno,29434260,1,2004
Glenn,2399082,20,2004
Humboldt,86266,46,2004
Imperial,6072783,10,2004
Inyo,27579,51,2004
Kern,23882466,2,2004
Kings,5903039,11,2004
Lake,704033,32,2004
Lassen,70447,47,2004
Los Angeles,3674348,13,2004
Madera,8512876,6,2004
Marin,56552,49,2004
Mariposa,24557,52,2004
Mendocino,1162903,28,2004
Merced,7707805,7,2004
Modoc,385516,37,2004
Mono,1119,57,2004
Monterey,9114603,5,2004
Napa,2236410,21,2004
Nevada,34792,50,2004
Orange,1469915,26,2004
Placer,374618,38,2004
Plumas,11931,53,2004
Riverside,3242339,16,2004
Sacramento,3283459,15,2004
San Benito,624510,33,2004
San Bernardino,619459,34,2004
San Diego,2108419,22,2004
San Francisco,10794,54,2004
San Joaquin,10036054,4,2004
San Luis Obispo,1712208,25,2004
San Mateo,223683,42,2004
Santa Barbara,4109252,12,2004
Santa Clara,865992,30,2004
Santa Cruz,1743551,24,2004
Shasta,294416,40,2004
Sierra,3727,56,2004
Siskiyou,837675,31,2004
Solano,1025269,29,2004
Sonoma,3058405,17,2004
Stanislaus,6138003,9,2004
Sutter,3624764,14,2004
Tehama,596303,35,2004
Trinity,10223,55,2004
Tulare,15056053,3,2004
Tuolumne,69071,48,2004
Ventura,7283033,8,2004
Yolo,2665655,19,2004
Yuba,1398577,27,2004
